"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 19, 2016","27.50","27.50","27.50","27.50","-","1.85%"
"Apr 18, 2016","27.00","27.00","27.00","27.00","-","4.25%"
"Apr 15, 2016","25.90","25.90","25.90","25.90","-","-4.07%"
"Apr 14, 2016","27.00","27.00","27.00","27.00","-","-2.70%"
"Apr 13, 2016","27.75","27.75","27.75","27.75","-","-1.77%"
"Apr 12, 2016","28.25","28.25","28.25","28.25","-","-0.88%"
"Apr 11, 2016","28.50","28.50","28.50","28.50","-","0.00%"
"Apr 08, 2016","28.50","28.50","28.50","28.50","-","0.00%"
"Apr 07, 2016","28.50","28.50","28.50","28.50","-","0.71%"
"Apr 06, 2016","28.30","28.30","28.30","28.30","-","0.53%"
"Apr 05, 2016","28.15","28.15","28.15","28.15","-","0.90%"
"Apr 04, 2016","27.90","27.90","27.90","27.90","-","0.36%"
"Apr 01, 2016","27.80","27.80","27.80","27.80","-","-0.89%"
"Mar 31, 2016","28.05","28.05","28.05","28.05","-","-1.41%"
"Mar 30, 2016","28.45","28.45","28.45","28.45","-","-1.90%"
"Mar 29, 2016","29.00","29.00","29.00","29.00","-","-0.51%"
"Mar 28, 2016","29.15","29.15","29.15","29.15","-","-1.19%"
"Mar 24, 2016","29.50","29.50","29.50","29.50","-","0.00%"
"Mar 23, 2016","29.50","29.50","29.50","29.50","-","-0.67%"
"Mar 22, 2016","29.70","29.70","29.70","29.70","-","0.17%"
"Mar 21, 2016","29.65","29.65","29.65","29.65","-","-0.34%"
"Mar 18, 2016","29.75","29.75","29.75","29.75","-","0.00%"
"Mar 17, 2016","29.75","29.75","29.75","29.75","-","0.85%"
"Mar 16, 2016","29.50","29.50","29.50","29.50","-","1.20%"
"Mar 15, 2016","29.15","29.15","29.15","29.15","-","2.28%"
"Mar 14, 2016","28.50","28.50","28.50","28.50","-","0.00%"
"Mar 11, 2016","28.50","28.50","28.50","28.50","0.28K","0.00%"
"Mar 10, 2016","28.50","28.50","28.50","28.50","-","-4.04%"
"Mar 09, 2016","29.70","29.70","29.70","29.70","-","-3.10%"
"Mar 08, 2016","30.65","30.65","30.65","30.65","-","-1.29%"
"Mar 07, 2016","31.05","31.05","31.05","31.05","-","-1.11%"
"Mar 04, 2016","31.40","31.40","31.40","31.40","-","-1.26%"
"Mar 03, 2016","31.80","31.80","31.80","31.80","-","-0.78%"
"Mar 02, 2016","32.05","32.05","32.05","32.05","-","-0.31%"
"Mar 01, 2016","32.15","32.15","32.15","32.15","-","0.47%"
"Feb 29, 2016","32.00","32.00","32.00","32.00","-","0.00%"
"Feb 26, 2016","32.00","32.00","32.00","32.00","-","-1.54%"
"Feb 25, 2016","32.50","32.50","32.50","32.50","-","-1.52%"
"Feb 24, 2016","33.00","33.00","33.00","33.00","-","-1.20%"
"Feb 23, 2016","33.40","33.40","33.40","33.40","-","0.00%"
"Feb 22, 2016","33.40","33.40","33.40","33.40","-","-0.30%"
"Feb 19, 2016","33.50","33.50","33.50","33.50","-","0.00%"
"Feb 18, 2016","33.50","33.50","33.50","33.50","-","-1.47%"
"Feb 17, 2016","34.00","34.00","34.00","34.00","-","0.00%"
"Feb 16, 2016","34.00","34.00","34.00","34.00","-","-0.44%"
"Feb 12, 2016","34.15","34.15","34.15","34.15","-","0.00%"
